Heuristics Used,, Time, Backtracks,, Time, Backtracks,, Time, Backtracks,, Time, Backtracks,, Time, Backtracks,
,, M1,,,M2,,, M3,,, M4,,, M5,,

FC NKT ,, 0.3291934, 3,, 
FC NKP LCV ,, 0.0779438, 0,, 
FC NKP ,, 0.0777640, 3,, 
FC LCV ,, 0.1695571, 1,, 
FC ,, 0.2174671, 6,, 
DH NKT NKP LCV ,, 0.1901929, 10,, 
DH NKT NKP ,, 0.1806080, 8,, 
DH NKT LCV ,, 0.4113362, 10,, 
DH NKT ,, 0.4077561, 8,, 
DH NKP LCV ,, 0.0789340, 10,, 
DH NKP ,, 0.0629959, 8,, 
DH LCV ,, 1.2572391, 534,, 
DH ,, 1.4366012, 710,, 
MRV NKT NKP LCV ,, 0.0860670, 0,, 
MRV NKT NKP ,, 0.0927749, 3,, 
MRV NKT LCV ,, 0.3040659, 0,, 
MRV NKT ,, 0.2951381, 4,, 
MRV NKP LCV ,, 0.0396419, 0,, 
MRV NKP ,, 0.0423779, 4,, 
MRV LCV ,, 0.2536759, 0,, 
MRV ,, 0.5036521, 197,, 
NKT NKP LCV ,, 0.0827980, 0,, 
NKT NKP ,, 0.0809751, 3,, 
NKT LCV ,, 0.2966251, 0,, 
NKT ,, 0.2887971, 3,, 
NKP LCV ,, 0.0331151, 0,, 
NKP ,, 0.0328901, 3,, 
LCV ,, 2.8363581, 1387,, 
BT ,, 3.1607740, 1556,, 
