Heuristics Used,, Time, Backtracks,, Time, Backtracks,, Time, Backtracks,, Time, Backtracks,, Time, Backtracks,
,, E1,,,E2,,, E3,,, E4,,, E5,,
DH ,,1.4398522,710, ,7.278024,5348,,15.897835,10428,,11.9847288,5843,,1.226083,649,
MRV NKT NKP LCV ,,0.0917492,0, ,0.7134969,0,,0.9599962,20,,0.319133,0,,0.0641332,0,
MRV NKT NKP ,,0.0914629,3, ,0.7212827,6,,0.919059,7,,0.3318591,3,,0.0789559,2,
MRV NKT LCV ,,0.2924888,0, ,1.4036827,10,,1.709769,30,,0.7223568,0,,0.2124512,0,
MRV NKT ,,0.3033752,4, ,1.4361758,7,,1.5088398,9,,0.7194738,4,,0.217644,2,
MRV NKP LCV ,,0.0449228,0, ,0.1649108,10,,0.3490791,49,,0.1052599,0,,0.0257471,0,
MRV NKP ,,0.045567,4, ,0.1656792,7,,0.2805479,11,,0.0932119,3,,0.0260952,2,
MRV LCV ,,0.2684698,0, ,0.32184,46,,1.5122509,644,,0.5742118,119,,0.2421172,0,
MRV ,,0.5195122,197, ,0.652807,263,,1.3562329,654,,1.5125961,479,,0.5398991,181,
NKT NKP LCV ,,0.0880992,0, ,0.3614137,0,,1.607419,47,,0.6930828,20,,0.128715,0,
NKT NKP ,,0.0953999,3, ,0.5058222,3,,1.528918,6,,0.3255308,1,,0.0674992,4,
NKT LCV ,,0.2908332,0, ,0.503109,0,,3.7773831,128,,1.4050272,20,,0.2504687,0,
NKT ,,0.2946079,3, ,1.300596,10,,3.417356,17,,0.7537618,0,,0.2201979,4,
NKP LCV ,,0.0372829,0, ,0.0785019,0,,0.583756,147,,0.1696491,20,,0.0324738,0,
NKP ,,0.0455501,3, ,0.128397,5,,0.5052209,25,,0.0907838,1,,0.0274429,4,
LCV ,,2.781492,1387, ,2.4885001,1284,,345.655242,153325,,29.6940782,15024,,0.512583,217,
BT,,3.034935,1556, ,3.7166412,2405,,331.9264269,170925,,29.4944518,14897,,0.9257858,460,




